#SIZE insert delete search spsearch traversal
10000 0.0001683 0.0001419 0.0001207 0.0506226 0.0024320
20000 0.0001884 0.0001623 0.0001419 0.0892329 0.0042049
30000 0.0001960 0.0001700 0.0001540 0.1290192 0.0060700
40000 0.0002057 0.0001767 0.0001582 0.1671979 0.0078260
50000 0.0002143 0.0001827 0.0001653 0.2078044 0.0097947
60000 0.0002184 0.0001871 0.0001687 0.2487625 0.0117662
70000 0.0002256 0.0001890 0.0001740 0.2886563 0.0136273
80000 0.0002300 0.0001950 0.0001772 0.3277605 0.0156327
90000 0.0002321 0.0001974 0.0001790 0.3641560 0.0172570
100000 0.0002356 0.0001958 0.0001779 0.4038093 0.0191393
